Invoice #,Date of Sale,Product Name,Type,Quantity,Revenue, Sale Price 
1702,18-Aug-24,Arm rest rubber,Spare,2,"2,500","1,250"
1702,18-Aug-24,Bearings,Spare,8,"3,200",400
1702,18-Aug-24,controller rubber,Spare,1,"1,300","1,300"
1702,18-Aug-24,Cushions pair 90 R,Spare,1,"7,000","7,000"
1785,7-Oct-24,90E,EW,1,"154,000","154,000"
1705,21-Aug-24, 16 inch tire,Spare,2,"6,000","3,000"
1705,21-Aug-24,Caster 10 inch,Spare,2,"10,000","5,000"
1709,24-Aug-24,Arm rest rubber,Spare,2,"2,500","1,250"
1709,24-Aug-24,Back seat,Spare,1,"3,500","3,500"
1709,24-Aug-24,Bottom seat,Spare,1,"3,500","3,500"
1709,24-Aug-24,Cushions pair 90 H,Spare,1,"6,000","6,000"
1736,10-Sep-24,90E+,EW,1,"154,000","154,000"
1710,24-Aug-24,Controller cap,Spare,1,"1,200","1,200"
1743,14-Sep-24,90E+,EW,1,"143,220","143,220"
1711,24-Aug-24,12 Ah Battery,Spare,1,"24,400","24,400"
1712,24-Aug-24,12 Ah Battery,Spare,1,"24,400","24,400"
1745,14-Sep-24,90E+,EW,1,"150,000","150,000"
1713,24-Aug-24,12 Ah Battery,Spare,1,"24,400","24,400"
1716,27-Aug-24,12 Ah Charger ,Spare,1,"6,500","6,500"
1753,18-Sep-24,90E+,EW,1,"156,000","156,000"
1765,25-Sep-24,90E+,EW,1,"154,000","154,000"
1775,1-Oct-24,90E+,EW,1,"154,000","154,000"
1717,27-Aug-24,Controller pad,Spare,1,"1,300","1,300"
1718,28-Aug-24, Footrest Plastic Part ,Spare,2,"2,500","1,250"
1718,28-Aug-24,Arm rest rubber,Spare,1,"1,250","1,250"
1718,28-Aug-24,Clutch Rubber,Spare,2,500,250
1718,28-Aug-24,Controller pad,Spare,1,"1,300","1,300"
1795,13-Oct-24,90E+,EW,1,"153,000","153,000"
1660,22-Jul-24,90H,EW,1,"164,000","164,000"
1720,29-Aug-24,12 Ah Battery,Spare,1,"24,400","24,400"
1721,29-Aug-24,Clutch Rubber,Spare,2,500,250
1724,31-Aug-24,Caster 10 inch,Spare,2,"9,000","4,500"
1663,24-Jul-24,90H,EW,1,"170,000","170,000"
1726,1-Sep-24,16 inch Tube,Spare,2,"1,600",800
1727,1-Sep-24,30M controller,Spare,1,"38,000","38,000"
1731,8-Sep-24,Non Em Controller,Spare,1,"34,000","34,000"
1665,27-Jul-24,90H,EW,1,"166,700","166,700"
1667,27-Jul-24,90H,EW,1,"164,000","164,000"
1733,9-Sep-24,12 inch tube,Spare,2,"2,000","1,000"
1675,31-Jul-24,90H,EW,1,"164,000","164,000"
1735,10-Sep-24,12 Ah Battery ,Spare,1,"24,400","24,400"
1737,10-Sep-24,Bearings,Spare,3,"1,200",400
1738,12-Sep-24,Battery Box,Spare,2,"2,400","1,200"
1683,5-Aug-24,90H,EW,1,"164,000","164,000"
1693,11-Aug-24,90H,EW,1,"160,000","160,000"
1738,12-Sep-24,Battery Box,Spare,2,"2,400","1,200"
1739,12-Sep-24,Controller cap,Spare,1,"1,200","1,200"
1740,12-Sep-24,Non Em Controller,Spare,1,"34,550","34,550"
1695,12-Aug-24,90H,EW,1,"164,000","164,000"
1741,12-Sep-24,Bearings,Spare,2,800,400
1741,12-Sep-24,Bottom seat,Spare,1,"3,500","3,500"
1741,12-Sep-24,Controller cap,Spare,1,"1,200","1,200"
1741,12-Sep-24,controller rubber,Spare,1,"1,200","1,200"
1742,14-Sep-24,Battery Connector,Spare,2,600,300
1744,14-Sep-24,Battery Box,Spare,1,"1,200","1,200"
1771,29-Sep-24,90H,EW,1,"166,000","166,000"
1746,14-Sep-24,Battery Box,Spare,1,"1,200","1,200"
1776,2-Oct-24,90H,EW,1,"168,000","168,000"
1749,15-Sep-24,90M rear wheel,Spare,2,"20,500","10,250"
1750,15-Sep-24,16 inch Tube,Spare,2,"1,600",800
1751,16-Sep-24,Non Em Motor,Spare,2,"40,000","20,000"
1752,16-Sep-24, 16 inch tire,Spare,2,"6,000","3,000"
1752,16-Sep-24,16 inch Tube,Spare,2,"1,600",800
1782,6-Oct-24,90H,EW,1,"170,000","170,000"
1754,19-Sep-24,Bearings,Spare,2,800,400
1754,19-Sep-24,Motor Bearings,Spare,2,800,400
1755,21-Sep-24,Caster 10 inch,Spare,2,"10,000","5,000"
1756,22-Sep-24,Footrest Hook,Spare,2,500,250
1757,22-Sep-24,12 Ah Battery ,Spare,1,"24,400","24,400"
1757,22-Sep-24,12 Ah Charger,Spare,1,"6,100","6,100"
1758,23-Sep-24,12 Ah Battery ,Spare,1,"24,400","24,400"
1758,23-Sep-24,12 Ah Charger,Spare,1,"6,100","6,100"
1760,23-Sep-24,12 Ah Battery ,Spare,1,"24,400","24,400"
1681,4-Aug-24,90H Konato,EW,1,"172,000","172,000"
1762,24-Sep-24,Clutch Plastic Part,Spare,2,"1,200",600
1699,13-Aug-24,90M,EW,1,"164,000","164,000"
1764,25-Sep-24,Battery Box ,Spare,2,"2,400","1,200"
1764,25-Sep-24,Battery Connector,Spare,2,600,300
1797,17-Oct-24,90M,EW,1,"165,000","165,000"
1811,24-Oct-24,90M,EW,1,"168,000","168,000"
1764,25-Sep-24,Controller pad,Spare,1,"1,200","1,200"
1767,26-Sep-24,Controller cap,Spare,1,"1,200","1,200"
1644,6-Jul-24,90R,EW,1,"194,000","194,000"
1656,20-Jul-24,90R,EW,1,"190,000","190,000"
1802,21-Oct-24,90R,EW,1,"200,000","200,000"
1768,26-Sep-24,20 Ah Battery,Spare,1,"28,400","28,400"
1810,24-Oct-24,90R Ujoin,EW,1,"180,000","180,000"
1706,21-Aug-24,90R Wide,EW,1,"218,000","218,000"
1714,24-Aug-24,90R Wide,EW,1,"215,000","215,000"
1725,31-Aug-24,90R Wide,EW,1,"210,000","210,000"
1773,1-Oct-24,12 Ah Charger,Spare,1,"6,500","6,500"
1715,26-Aug-24,90R+,EW,1,"194,000","194,000"
1722,29-Aug-24,90R+,EW,1,"194,000","194,000"
1778,3-Oct-24,Armrest sheet,Spare,2,"2,000","1,000"
1723,31-Aug-24,90R+,EW,1,"190,000","190,000"
1766,26-Sep-24,90R+,EW,1,"194,000","194,000"
1779,3-Oct-24,Arm rest rubber,Spare,2,"2,500","1,250"
1780,6-Oct-24,Clutch Rubber,Spare,2,600,300
1781,6-Oct-24,EM Controller,Spare,1,"36,500","36,500"
1784,6-Oct-24,Arm rest rubber,Spare,1,"1,250","1,250"
1784,6-Oct-24,Mudguard,Spare,3,"3,750","1,250"
1787,8-Oct-24, 16 inch tire,Spare,2,"6,000","3,000"
1787,8-Oct-24,Bearings,Spare,4,"1,600",400
1787,8-Oct-24,Caster 10 inch,Spare,2,"10,000","5,000"
1772,29-Sep-24,90R+,EW,1,"194,000","194,000"
1788,8-Oct-24,Non Em Motor,Spare,1,"19,100","19,100"
1774,1-Oct-24,90R+,EW,1,"195,700","195,700"
1777,3-Oct-24,90R+,EW,1,"194,000","194,000"
1783,6-Oct-24,90R+,EW,1,"194,000","194,000"
1729,5-Sep-24,90RR,EW,1,"243,000","243,000"
1790,9-Oct-24,20 Ah Battery,Spare,1,"28,150","28,150"
1659,22-Jul-24,90U,EW,1,"154,000","154,000"
1791,9-Oct-24,Non Em Controller,Spare,1,"46,600","46,600"
1792,10-Oct-24,20 Ah Battery,Spare,1,"27,000","27,000"
1799,17-Oct-24,Antitople Wheel,Spare,2,600,300
1801,21-Oct-24,6 Ah Lithium Battery,Spare,1,"17,000","17,000"
1803,21-Oct-24, 12 inch Tires,Spare,2,"6,000","3,000"
1803,21-Oct-24,20 Ah Battery ,Spare,1,"28,400","28,400"
1664,27-Jul-24,90U,EW,1,"154,000","154,000"
1804,22-Oct-24,20 Ah Battery,Spare,1,"29,250","29,250"
1806,24-Oct-24,12 Ah Battery,Spare,1,"24,400","24,400"
1809,24-Oct-24,Footrest clips,Spare,4,"4,800","1,200"
1812,24-Oct-24,Arm rest rubber,Spare,1,"1,250","1,250"
1812,24-Oct-24,Bottom seat,Spare,1,"3,500","3,500"
1701,15-Aug-24,90U,EW,1,"154,000","154,000"
1708,24-Aug-24,90U,EW,1,"154,000","154,000"
1800,21-Oct-24,90U,EW,1,"159,500","159,500"
1807,24-Oct-24,90U,EW,2,"300,000","150,000"
1808,24-Oct-24,90U ,EW,5,"750,000","150,000"

